,id,stock,bal,acc,flavour
0,id0,89,68.89999999999897,60.88999999999897,chart
1,id1,99,53.58999999999931,44.67999999999931,chart
2,id2,0,1524.5399999999986,1524.5399999999986,chart
3,id3,64,405.78000000000196,400.02000000000197,chart
4,id4,99,24.89000000000296,15.98000000000296,chart
5,id5,0,1770.679999999999,1770.679999999999,chart
6,id6,50,248.67000000000232,244.17000000000232,chart
7,id7,36,788.7800000000018,785.5400000000018,chart
8,id8,40,711.4000000000002,707.8000000000002,chart
9,id9,116,0.22000000000237616,-10.219999999997624,arb
10,id10,556,44.14000000000316,-5.899999999996837,arb
11,id11,116,0.7699999999979947,-9.670000000002005,arb
12,id12,0,2183.1599999999967,2183.1599999999967,chart
13,id13,60,147.3700000000007,141.97000000000068,chart
14,id14,485,78.33000000000317,34.68000000000317,arb
15,id15,48,300.71000000000026,296.39000000000027,chart
16,id16,85,28.67000000000084,21.02000000000084,chart
17,id17,57,487.15000000000015,482.02000000000015,chart
18,id18,106,0.010000000002515552,-9.529999999997484,arb
19,id19,116,0.04000000000303297,-10.399999999996966,arb
20,id20,121,0.4900000000019228,-10.399999999998077,arb
21,id21,237,1.170000000002019,-20.15999999999798,arb
22,id22,48,5000.509999999999,4996.19,chart
23,id23,15,6213.739999999998,6212.389999999998,chart
24,id24,0,9785.799999999997,9785.799999999997,chart
25,id25,0,9769.679999999997,9769.679999999997,chart
26,id26,0,9839.810000000003,9839.810000000003,chart
27,id27,36,5477.189999999999,5473.949999999999,chart
28,id28,0,9408.274999999998,9408.274999999998,chart
29,id29,0,8409.069999999996,8409.069999999996,chart
30,id30,2,7054.989999999999,7054.809999999999,chart
31,id31,38,5278.909999999999,5275.489999999999,chart
32,id32,0,9782.409999999996,9782.409999999996,chart
33,id33,0,9504.924999999997,9504.924999999997,chart
34,id34,0,9704.104999999994,9704.104999999994,chart
35,id35,7,6636.709999999999,6636.079999999999,chart
36,id36,46,5020.629999999999,5016.489999999999,chart
37,id37,0,7773.039999999998,7773.039999999998,chart
38,id38,0,9665.474999999995,9665.474999999995,chart
39,id39,0,9809.63,9809.63,chart
40,id40,0,9816.36,9816.36,chart
41,id41,0,9810.869999999999,9810.869999999999,chart
42,id42,0,8752.409999999994,8752.409999999994,chart
43,id43,15,6161.429999999996,6160.079999999995,chart
44,id44,38,5378.279999999999,5374.859999999999,chart
45,id45,48,5000.509999999999,4996.19,chart
46,id46,0,9809.51,9809.51,chart
47,id47,0,8174.179999999997,8174.179999999997,chart
48,id48,0,9811.649999999998,9811.649999999998,chart
49,id49,0,9830.570000000002,9830.570000000002,chart
50,id50,0,9802.960000000001,9802.960000000001,chart
51,id51,0,6931.579999999998,6931.579999999998,chart
52,id52,0,6930.749999999998,6930.749999999998,chart
53,id53,48,5000.509999999999,4996.19,chart
54,id54,0,9833.930000000002,9833.930000000002,chart
55,id55,0,9816.810000000001,9816.810000000001,chart
56,id56,0,9771.864999999996,9771.864999999996,chart
57,id57,48,5000.509999999999,4996.19,chart
58,id58,0,9808.489999999998,9808.489999999998,chart
59,id59,0,9405.314999999997,9405.314999999997,chart
60,id60,0,6819.399999999998,6819.399999999998,chart
61,id61,0,9782.409999999996,9782.409999999996,chart
62,id62,35,5575.089999999998,5571.939999999999,chart
63,id63,42,5279.379999999999,5275.599999999999,chart
64,id64,0,9782.409999999996,9782.409999999996,chart
65,id65,0,9809.63,9809.63,chart
66,id66,12,6204.139999999996,6203.059999999996,chart
67,id67,0,9788.829999999998,9788.829999999998,chart
68,id68,0,9719.724999999997,9719.724999999997,chart
69,id69,25,5871.729999999997,5869.479999999997,chart
70,id70,0,9833.930000000002,9833.930000000002,chart
71,id71,0,9820.830000000002,9820.830000000002,chart
72,id72,43,5186.479999999999,5182.609999999999,chart
73,id73,0,6349.560000000001,6349.560000000001,chart
74,id74,16,5001.469999999997,5000.029999999997,chart
75,id75,0,5663.56,5663.56,chart
76,id76,33,3422.6300000000037,3419.660000000004,chart
77,id77,81,1382.130000000008,1374.840000000008,noise
78,id78,77,66.89499999999909,59.96499999999909,chart
79,id79,32,3583.33,3580.45,chart
80,id80,62,3174.710000000001,3169.130000000001,chart
81,id81,15,4886.640000000019,4885.290000000019,noise
82,id82,0,5613.1,5613.1,chart
83,id83,0,6237.7300000000005,6237.7300000000005,chart
84,id84,112,2808.449999999998,2798.369999999998,noise
85,id85,7,5238.119999999997,5237.489999999997,chart
86,id86,72,3062.599999999998,3056.119999999998,noise
87,id87,11,6012.275,6011.285,noise
88,id88,66,6713.820000000001,6707.880000000001,noise
89,id89,6,3990.4099999999985,3989.8699999999985,chart
90,id90,41,555.2749999999997,551.5849999999997,chart
91,id91,54,1355.0699999999997,1350.2099999999998,chart
92,id92,21,4120.01999999999,4118.12999999999,chart
93,id93,68,2676.060000000002,2669.9400000000023,chart
94,id94,49,4895.479999999998,4891.069999999998,chart
95,id95,64,3853.965000000008,3848.2050000000077,noise
96,id96,33,4226.31,4223.34,chart
97,id97,61,4846.870000000001,4841.380000000001,noise
98,id98,33,2810.500000000007,2807.530000000007,noise
99,id99,79,6058.325,6051.215,noise
100,id100,184,8.399999999999569,-8.16000000000043,lstm
101,id101,231,5.580000000003714,-15.209999999996285,lstm
102,id102,162,31.904999999990295,17.324999999990297,lstm
103,id103,101,10.640000000002104,1.550000000002104,lstm
104,id104,102,10.640000000000754,1.460000000000754,lstm
105,id105,301,0.6950000000002063,-26.394999999999794,lstm
