,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,100.47,37.0,1.98,100.1,99.26,99.46
2,101.0,34.0,2.13,100.45,99.44,99.52
3,101.24,69.0,2.27,100.55,99.61,99.6
4,101.48,61.0,2.06,100.65,99.81,99.71
5,102.02,43.0,1.87,100.75,100.09,99.83
6,101.16,41.0,1.97,100.76,100.45,99.91
7,102.07,21.0,2.28,100.86,100.73,100.02
8,101.39,9.0,1.5,100.96,100.99,100.13
9,102.22,30.0,2.41,101.17,101.15,100.26
10,101.34,93.0,1.93,101.27,101.28,100.37
11,102.91,9.0,2.65,101.37,101.57,100.52
12,102.1,27.0,1.87,101.47,101.73,100.61
13,102.84,29.0,2.06,101.57,101.91,100.69
14,103.52,67.0,1.94,101.78,102.14,100.79
15,102.58,43.0,2.03,101.88,102.25,100.86
16,103.21,44.0,2.12,101.98,102.37,100.94
17,103.74,78.0,1.94,102.08,102.63,101.03
18,102.88,28.0,1.86,102.18,102.71,101.09
19,103.58,41.0,2.3,102.03,102.93,101.14
20,103.96,41.0,1.86,102.13,103.1,101.23
21,103.01,0.0,1.25,102.23,103.27,101.26
22,103.69,45.0,2.38,102.33,103.35,101.3
23,104.33,58.0,1.94,102.43,103.57,101.36
24,103.61,14.0,1.75,102.53,103.65,101.39
25,104.15,21.0,1.83,102.38,103.71,101.45
26,104.33,36.0,1.86,102.28,103.88,101.5
27,103.47,59.0,1.93,102.38,103.91,101.57
28,104.33,11.0,1.9,102.36,103.97,101.66
29,103.47,60.0,1.9,102.46,104.03,101.74
30,104.2,30.0,1.89,102.56,104.09,101.84
31,104.83,33.0,1.86,102.66,104.18,101.92
32,104.02,12.0,1.79,102.61,104.28,102.0
33,104.65,51.0,1.93,102.71,104.38,102.07
34,105.24,42.0,1.79,102.81,104.47,102.14
35,104.38,27.0,1.72,102.91,104.55,102.21
36,105.01,30.0,1.71,103.01,104.64,102.27
37,105.18,24.0,1.68,103.11,104.72,102.36
38,104.8,22.0,1.68,103.21,104.85,102.45
39,105.26,27.0,1.65,103.31,104.94,102.54
40,104.4,15.0,1.79,103.2,105.03,102.6
41,105.14,56.0,1.9,103.95,105.12,102.67
42,105.62,68.0,1.93,104.05,105.2,102.8
43,104.74,7.0,1.71,104.15,105.27,102.9
44,105.5,10.0,1.6,104.25,105.35,103.02
45,105.88,59.0,1.85,104.35,105.41,103.15
46,105.07,19.0,1.61,104.45,105.48,103.3
47,105.83,11.0,1.71,104.59,105.56,103.43
48,106.3,45.0,1.85,104.83,105.67,103.58
49,105.49,40.0,1.79,104.85,105.74,103.68
50,106.09,6.0,1.64,104.95,105.82,103.8
51,106.35,32.0,1.71,105.29,106.01,103.93
52,105.54,22.0,1.71,105.39,106.05,104.03
53,106.28,22.0,1.79,105.6,106.12,104.14
54,107.16,2.0,1.41,105.75,106.36,104.26
55,106.35,22.0,1.81,106.08,106.44,104.36
56,107.06,31.0,1.74,106.18,106.56,104.46
57,107.44,31.0,1.71,106.28,106.8,104.59
58,106.58,46.0,1.9,106.38,106.88,104.68
59,107.28,44.0,1.9,106.48,106.98,104.8
60,107.92,57.0,1.79,106.58,107.22,104.91
61,107.11,62.0,1.93,106.68,107.32,105.03
62,107.84,33.0,1.93,106.67,107.47,105.13
63,108.48,55.0,1.9,106.77,107.76,105.26
64,107.67,32.0,1.71,106.87,107.9,105.36
65,108.35,20.0,1.85,105.5,108.02,105.46
66,108.82,25.0,1.65,105.6,108.27,105.58
67,108.01,56.0,1.93,105.7,108.36,105.68
68,108.28,29.0,1.67,105.8,108.44,105.77
69,109.04,39.0,1.9,107.86,108.69,105.89
70,108.24,9.0,1.41,108.37,108.79,105.98
71,108.95,34.0,1.89,108.48,108.89,106.08
72,109.46,30.0,1.83,108.59,109.12,106.21
73,108.65,46.0,1.79,108.7,109.2,106.31
74,109.2,10.0,1.68,108.81,109.27,106.41
77,109.74,28.0,1.71,107.77,109.48,106.53
78,108.86,4.0,1.64,107.81,109.53,106.62
79,109.52,51.0,1.9,107.92,109.6,106.72
80,109.79,85.0,1.93,105.95,109.78,106.85
81,108.98,27.0,1.85,106.05,109.85,106.94
82,109.57,25.0,1.79,106.15,109.9,107.06
83,109.86,49.0,1.79,106.14,110.06,107.17
84,109.0,13.0,1.71,103.8,110.06,107.25
85,109.47,59.0,1.79,103.9,110.06,107.36
86,109.98,32.0,1.67,104.0,110.19,107.47
88,109.17,62.0,1.9,104.1,110.19,107.55
89,109.7,55.0,1.93,104.2,110.19,107.66
90,109.97,73.0,1.93,104.3,110.3,107.76
91,109.77,35.0,1.79,104.4,110.32,107.85
92,109.39,3.0,0.43,104.5,110.28,107.94
93,109.65,24.0,1.71,104.6,110.35,108.03
94,110.22,15.0,1.71,104.7,110.42,108.15
95,109.36,52.0,1.9,104.8,110.37,108.23
96,109.93,42.0,1.9,104.87,110.46,108.32
97,110.17,42.0,1.71,104.97,110.53,108.43
98,110.68,47.0,1.68,105.07,110.6,108.53
99,109.8,6.0,1.71,105.17,110.66,108.61
100,109.98,21.0,1.71,106.45,110.69,108.71
