,id,stock,bal,acc,flavour
0,id0,50,5000.0,10046.5,arb
1,id1,42,5803.279999999999,10042.34,arb
2,id2,50,5000.0,10046.5,arb
3,id3,66,3388.7800000000007,10050.16,arb
4,id4,38,6214.580000000002,10049.920000000002,arb
5,id5,65,3489.7100000000005,10050.160000000002,arb
6,id6,50,5000.0,10046.5,arb
7,id7,50,5000.0,10046.5,arb
8,id8,74,2585.1399999999994,10053.96,arb
9,id9,50,5000.0,10046.5,arb
10,id10,74,2583.9200000000005,10052.740000000002,arb
11,id11,50,5000.0,10046.5,arb
12,id12,50,5000.0,10046.5,arb
13,id13,68,3187.9400000000014,10051.180000000002,arb
14,id14,62,3795.27,10052.93,arb
15,id15,30,7024.300000000003,10052.200000000003,arb
16,id16,50,5000.0,10046.5,arb
17,id17,62,3789.7099999999996,10047.37,arb
18,id18,50,5000.0,10046.5,arb
19,id19,38,6214.580000000002,10049.920000000002,arb
20,id20,70,2978.2000000000007,10043.300000000001,arb
21,id21,50,5000.0,10046.5,arb
22,id22,61,3889.8699999999963,10046.599999999997,arb
23,id23,62,3793.2200000000007,10050.880000000001,arb
24,id24,38,6211.360000000001,10046.7,arb
25,id25,58,4193.209999999999,10047.15,arb
26,id26,62,3794.6800000000017,10052.340000000002,arb
27,id27,67,3286.720000000001,10049.030000000002,arb
28,id28,50,5000.0,10046.5,arb
29,id29,50,5000.0,10046.5,arb
30,id30,50,5000.0,10046.5,arb
31,id31,50,5000.0,10046.5,arb
32,id32,50,5000.0,10046.5,arb
33,id33,50,5000.0,10046.5,arb
34,id34,70,2982.85,10047.95,arb
35,id35,50,5000.0,10046.5,arb
36,id36,68,3187.9400000000014,10051.180000000002,arb
37,id37,50,5000.0,10046.5,arb
38,id38,66,3384.9700000000003,10046.35,arb
39,id39,36,6411.34,10044.82,chart
40,id40,40,6008.08,10045.28,chart
41,id41,36,6411.51,10044.990000000002,chart
42,id42,36,6408.869999999999,10042.349999999999,chart
43,id43,40,6008.08,10045.28,chart
44,id44,38,6209.86,10045.2,chart
45,id45,41,5906.0599999999995,10044.189999999999,chart
46,id46,31,6915.55,10044.380000000001,chart
47,id47,39,6108.97,10045.240000000002,chart
48,id48,41,5906.0599999999995,10044.189999999999,chart
49,id49,39,6105.379999999999,10041.65,chart
50,id50,34,6612.73,10044.35,chart
51,id51,53,4698.23,10047.52,val
52,id52,50,5000.0,10046.5,val
53,id53,55,4491.329999999998,10042.48,val
54,id54,54,4596.209999999999,10046.43,val
55,id55,56,4392.169999999998,10044.249999999998,val
56,id56,50,5000.0,10046.5,val
57,id57,54,4597.639999999999,10047.86,val
58,id58,50,5000.0,10046.5,val
59,id59,50,5000.0,10046.5,val
60,id60,53,4698.23,10047.52,val
61,id61,50,5000.0,10046.5,val
62,id62,58,4194.830000000001,10048.77,val
63,id63,57,4294.21,10047.220000000001,val
64,id64,55,4499.460000000001,10050.61,val
65,id65,52,4798.82,10047.18,val
66,id66,53,4701.02,10050.310000000001,val
67,id67,50,5000.0,10046.5,val
68,id68,50,5000.0,10046.5,val
69,id69,53,4698.23,10047.52,val
70,id70,64,3589.3200000000006,10048.84,val
71,id71,62,3789.96,10047.62,val
72,id72,55,4496.100000000001,10047.250000000002,val
73,id73,56,4395.029999999999,10047.109999999999,val
74,id74,50,5000.0,10046.5,val
75,id75,53,4701.02,10050.310000000001,val
76,id76,50,5000.0,10046.5,val
77,id77,50,5000.0,10046.5,val
78,id78,53,4696.799999999999,10046.09,val
79,id79,50,5000.0,10046.5,val
80,id80,50,5000.0,10046.5,val
81,id81,57,4297.9000000000015,10050.910000000002,val
82,id82,57,4296.000000000001,10049.010000000002,val
83,id83,57,4290.149999999998,10043.159999999998,val
84,id84,50,5000.0,10046.5,val
85,id85,54,4596.209999999999,10046.43,val
86,id86,50,5000.0,10046.5,val
87,id87,50,5000.0,10046.5,val
88,id88,56,4392.169999999998,10044.249999999998,val
89,id89,53,4696.799999999999,10046.09,val
90,id90,52,4798.82,10047.18,val
91,id91,50,5000.0,10046.5,val
92,id92,50,5000.0,10046.5,val
93,id93,54,4597.639999999999,10047.86,val
94,id94,62,3791.7000000000007,10049.36,val
95,id95,51,4899.41,10046.84,val
96,id96,53,4698.23,10047.52,val
97,id97,57,4294.33,10047.34,val
98,id98,50,5000.0,10046.5,val
99,id99,57,4299.020000000001,10052.030000000002,val
100,id100,48,5201.37,10046.01,lstm
101,id101,48,5201.37,10046.01,lstm
102,id102,18,8222.400000000003,10039.140000000003,lstm
103,id103,43,5706.820000000001,10046.810000000001,lstm
104,id104,63,3689.4900000000025,10048.080000000002,lstm
105,id105,67,3287.550000000002,10049.860000000002,lstm
106,id106,45,5505.450000000001,10047.300000000001,lstm
107,id107,56,4396.060000000001,10048.140000000001,lstm
108,id108,24,7619.650000000003,10041.970000000003,lstm
109,id109,0,10011.140000000007,10011.140000000007,lstm
110,id110,39,6111.680000000001,10047.95,lstm
111,id111,0,10038.380000000003,10038.380000000003,lstm
112,id112,30,7020.760000000004,10048.660000000003,lstm
113,id113,31,6920.170000000004,10049.000000000004,lstm
114,id114,29,7114.250000000002,10041.220000000001,lstm
115,id115,60,3992.3300000000017,10048.130000000001,lstm
116,id116,51,4899.11,10046.54,lstm
117,id117,40,6010.9000000000015,10048.100000000002,lstm
118,id118,0,10015.24000000001,10015.24000000001,lstm
119,id119,77,2281.1499999999996,10052.76,lstm
120,id120,47,5303.6900000000005,10047.400000000001,lstm
121,id121,64,3590.390000000002,10049.910000000003,lstm
122,id122,56,4396.060000000001,10048.140000000001,lstm
123,id123,46,5402.85,10045.630000000001,lstm
124,id124,48,5201.37,10046.01,lstm
125,id125,62,3790.6600000000026,10048.320000000003,lstm
