,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.68,136.0,6.26,100.1,99.19,99.45
2,100.28,149.0,6.25,100.2,99.3,99.5
3,100.09,151.0,6.2,100.3,99.36,99.56
4,100.47,114.0,5.63,100.4,99.46,99.65
5,99.9,61.0,2.18,100.5,99.53,99.72
6,100.74,117.0,2.7,99.93,99.85,99.79
7,101.3,74.0,2.15,100.03,100.05,99.88
8,100.83,82.0,2.59,100.13,100.25,99.98
9,101.55,56.0,2.19,100.23,100.34,100.1
10,100.7,21.0,1.89,100.33,100.41,100.19
11,101.88,25.0,2.28,100.43,100.6,100.32
12,101.21,45.0,2.02,100.32,100.75,100.39
13,101.91,47.0,2.1,100.36,100.91,100.45
14,101.48,48.0,1.9,100.46,101.05,100.51
15,102.25,47.0,1.91,100.56,101.23,100.57
16,101.4,19.0,1.69,99.47,101.38,100.62
17,102.36,34.0,2.31,99.57,101.54,100.68
18,101.39,19.0,1.78,99.67,101.55,100.71
19,102.38,43.0,2.44,99.77,101.7,100.74
20,101.4,7.0,1.83,99.87,101.68,100.78
21,102.38,34.0,2.27,99.78,101.85,100.8
22,101.3,0.0,1.18,99.88,101.79,100.79
23,102.35,42.0,2.26,99.98,101.9,100.81
24,102.18,91.0,2.05,100.08,101.93,100.81
25,102.41,70.0,1.96,100.18,102.02,100.83
26,101.44,17.0,1.76,100.28,101.94,100.83
27,102.57,21.0,2.22,100.38,102.06,100.88
28,101.6,14.0,1.76,100.61,101.98,100.92
29,102.57,23.0,2.03,100.71,102.1,100.98
30,101.6,8.0,1.26,100.81,102.02,101.03
31,102.58,17.0,2.04,101.29,102.14,101.06
32,101.61,11.0,1.93,101.4,102.06,101.09
33,102.58,25.0,1.92,101.5,102.19,101.12
34,101.64,11.0,1.9,101.6,102.12,101.12
35,102.64,9.0,1.93,101.7,102.17,101.16
36,101.68,18.0,1.93,101.71,102.1,101.16
37,102.67,6.0,1.86,101.81,102.22,101.2
38,101.71,10.0,1.93,101.91,102.13,101.22
39,102.69,12.0,1.85,102.23,102.24,101.26
40,101.73,25.0,1.9,102.33,102.16,101.27
41,102.7,11.0,1.77,102.43,102.27,101.29
42,102.05,9.0,1.65,102.53,102.22,101.35
43,103.01,5.0,1.74,102.63,102.36,101.42
44,102.05,24.0,1.9,102.73,102.31,101.47
45,102.98,8.0,1.72,102.83,102.44,101.55
46,102.99,63.0,1.84,102.93,102.48,101.66
47,103.03,36.0,1.83,103.56,102.62,101.73
48,102.09,44.0,1.9,103.66,102.56,101.8
49,103.31,12.0,2.0,103.76,102.72,101.85
50,102.36,36.0,1.9,104.0,102.69,101.9
51,103.36,8.0,1.83,104.1,102.85,101.97
52,102.46,47.0,1.9,104.2,102.83,102.03
53,103.43,11.0,1.38,104.3,102.97,102.09
54,102.53,44.0,1.9,104.91,102.92,102.14
55,103.5,15.0,1.82,105.01,103.06,102.2
56,102.59,49.0,1.96,104.82,103.02,102.25
57,103.58,16.0,1.88,104.92,103.08,102.31
58,103.07,45.0,1.93,105.02,103.08,102.35
59,104.04,7.0,1.76,105.12,103.28,102.41
60,103.52,35.0,1.85,105.22,103.3,102.45
61,104.49,8.0,1.76,105.32,103.51,102.53
62,103.59,39.0,1.87,105.42,103.53,102.56
63,104.56,5.0,1.32,105.52,103.74,102.63
64,103.71,45.0,1.9,105.62,103.77,102.67
65,104.67,14.0,1.76,105.72,103.98,102.73
66,104.29,41.0,1.89,108.3,104.06,102.77
67,105.27,5.0,1.26,108.41,104.33,102.85
68,104.82,51.0,1.83,108.52,104.45,102.9
69,105.81,3.0,1.13,110.64,104.72,102.99
70,104.91,58.0,1.96,110.75,104.81,103.04
71,105.91,11.0,1.9,110.86,105.05,103.13
72,106.78,16.0,1.6,110.97,105.28,103.22
73,105.93,61.0,2.23,111.08,105.51,103.31
74,106.91,14.0,1.76,111.53,105.74,103.4
75,106.62,50.0,1.7,111.64,106.03,103.49
76,107.59,12.0,1.76,111.75,106.32,103.59
77,106.74,53.0,1.95,111.86,106.56,103.7
79,107.72,17.0,1.94,111.97,106.8,103.8
80,107.43,46.0,1.83,112.08,107.06,103.92
81,108.41,2.0,1.35,112.19,107.32,104.04
82,107.71,44.0,1.83,112.3,107.6,104.16
83,108.65,13.0,1.75,112.41,107.87,104.28
84,107.76,42.0,1.94,112.52,107.97,104.4
85,108.9,9.0,1.58,112.63,108.27,104.53
86,108.16,43.0,1.84,112.74,108.4,104.66
87,109.13,12.0,1.81,112.85,108.65,104.79
88,108.39,40.0,1.84,112.84,108.73,104.92
89,109.33,20.0,1.82,112.95,108.99,105.05
90,108.63,43.0,1.84,113.06,109.08,105.19
91,109.6,8.0,1.77,113.17,109.3,105.33
92,108.9,45.0,1.84,112.86,109.35,105.47
93,109.87,3.0,1.24,112.97,109.57,105.61
94,109.14,42.0,1.85,113.19,109.62,105.75
95,110.1,3.0,0.97,113.38,109.85,105.89
96,109.64,12.0,1.55,113.49,109.92,106.04
97,110.58,6.0,1.24,113.88,110.16,106.19
98,109.88,14.0,1.84,113.99,110.24,106.33
99,110.84,3.0,1.74,114.1,110.48,106.49
100,110.14,20.0,1.84,114.21,110.56,106.65
