,trading_price,volume,spread,true_price,10_MA,50_MA
0,100.0,0.0,0.0,100.0,99.37,99.38
1,99.17,37.0,2.03,99.84,99.14,99.44
2,98.75,93.0,2.53,99.94,99.09,99.46
3,98.57,105.0,2.96,100.04,98.99,99.49
4,98.45,105.0,3.02,100.14,98.89,99.54
5,98.32,107.0,2.95,101.5,98.8,99.58
6,98.06,130.0,2.86,101.6,98.85,99.6
7,97.77,94.0,2.74,101.79,98.7,99.62
8,97.48,91.0,2.19,101.98,98.57,99.65
9,97.08,111.0,2.25,102.08,98.21,99.68
10,96.75,110.0,2.4,102.18,97.88,99.69
11,96.29,77.0,2.43,102.28,97.51,99.71
12,95.61,75.0,2.05,102.38,97.15,99.67
13,95.1,92.0,1.96,102.48,96.79,99.6
14,94.49,70.0,1.96,102.58,96.38,99.52
15,94.03,68.0,1.98,102.68,95.94,99.42
16,93.57,89.0,1.9,102.78,95.46,99.31
17,93.15,66.0,1.96,102.88,94.97,99.19
18,93.19,47.0,1.95,102.83,94.51,99.06
19,93.23,48.0,1.95,102.93,94.08,98.91
20,92.79,39.0,1.9,103.03,93.65,98.78
21,92.55,49.0,1.91,103.13,93.23,98.6
22,92.73,21.0,1.94,103.23,92.87,98.42
23,92.32,27.0,1.94,103.33,92.54,98.24
24,91.4,9.0,1.81,103.78,92.17,98.03
25,92.33,5.0,1.94,103.83,91.95,97.85
26,92.91,12.0,1.94,103.93,91.84,97.67
27,92.12,18.0,2.05,104.03,91.7,97.51
28,93.05,4.0,1.71,104.13,91.69,97.38
29,92.6,13.0,2.1,104.23,91.63,97.24
30,93.43,5.0,1.91,104.81,91.65,97.12
31,92.68,29.0,2.01,104.91,91.64,96.96
32,93.43,12.0,1.91,105.41,91.73,96.82
33,92.96,8.0,1.94,105.51,91.75,96.66
34,93.65,6.0,1.91,105.61,91.88,96.5
35,93.18,23.0,1.94,105.71,92.06,96.35
36,93.24,5.0,0.88,105.81,92.15,96.18
37,93.51,36.0,1.91,105.91,92.21,96.04
38,93.25,10.0,1.65,105.77,92.32,95.9
39,93.16,36.0,1.94,105.87,92.33,95.75
40,92.95,38.0,1.94,105.89,92.36,95.58
41,92.97,27.0,1.82,105.99,92.31,95.41
42,92.32,26.0,1.94,106.09,92.27,95.27
43,92.44,34.0,1.85,106.19,92.17,95.13
44,91.98,37.0,1.91,106.31,92.07,94.98
45,91.52,36.0,1.91,106.41,91.86,94.83
46,91.79,39.0,1.91,106.32,91.72,94.72
47,91.765,21.0,1.87,106.42,91.57,94.57
48,90.96,6.0,1.88,106.52,91.32,94.41
49,90.84,27.0,1.91,106.62,91.08,94.21
50,91.34,18.0,1.91,106.93,90.9,94.04
51,90.96,11.0,1.94,107.03,90.7,93.86
52,91.38,30.0,1.91,109.05,90.54,93.7
53,90.96,15.0,1.94,109.16,90.4,93.54
54,91.2,16.0,1.91,109.47,90.28,93.39
55,90.45,9.0,1.94,109.58,90.13,93.23
56,90.33,34.0,1.91,109.69,90.01,93.07
57,90.75,16.0,1.8,109.92,89.91,92.92
58,90.51,28.0,1.94,110.03,89.78,92.77
59,91.26,6.0,1.94,110.14,89.81,92.65
60,91.14,31.0,2.11,110.25,89.84,92.53
61,90.21,8.0,1.73,110.36,89.73,92.4
62,90.99,13.0,2.06,110.47,89.73,92.29
64,90.72,31.0,1.81,110.58,89.66,92.19
65,90.31,26.0,1.94,110.69,89.6,92.09
67,90.68,26.0,1.86,110.8,89.55,92.01
68,91.64,1.0,1.45,110.91,89.67,91.96
69,90.17,2.0,2.43,111.02,89.65,91.89
70,89.66,23.0,1.94,113.88,89.54,91.82
71,90.08,26.0,1.91,113.99,89.5,91.76
73,89.1,2.0,1.73,114.1,89.28,91.68
74,89.51,15.0,1.94,114.21,89.12,91.61
75,88.76,4.0,1.91,114.32,88.98,91.53
76,88.01,16.0,1.94,114.55,88.68,91.44
77,87.59,11.0,1.75,116.27,88.37,91.35
78,87.96,28.0,1.94,116.38,88.14,91.28
79,87.79,21.0,1.96,116.49,87.85,91.19
80,87.01,18.0,2.1,117.01,87.39,91.07
81,86.84,33.0,1.94,119.02,87.06,90.96
82,86.05,11.0,1.94,119.47,86.7,90.82
83,85.07,2.0,1.15,119.59,86.2,90.67
84,85.49,20.0,1.94,119.95,85.84,90.51
85,84.71,17.0,1.86,120.07,85.36,90.35
87,84.98,31.0,1.94,120.19,84.98,90.18
88,84.2,13.0,2.53,120.31,84.6,90.0
89,84.31,10.0,2.02,120.4,84.27,89.81
90,84.27000000000001,34.0,2.52,120.52,83.9,89.63
91,83.31,14.0,2.44,120.64,83.45,89.43
92,83.48,10.0,1.94,120.75,83.1,89.23
93,82.04,3.0,2.19,120.87,82.62,89.01
94,81.11,8.0,1.83,121.42,82.13,88.77
95,82.22,1.0,2.01,121.42,81.84,88.56
96,81.33,14.0,2.88,121.32,81.42,88.33
97,80.01,6.0,2.28,121.44,80.95,88.08
98,79.59,14.0,1.94,121.07,80.41,87.82
99,78.81,15.0,1.69,121.19,79.87,87.56
100,78.1,9.0,3.36,121.25,79.25,87.29
101,77.32,11.0,1.94,121.37,78.55,87.0
102,76.39,2.0,1.71,121.49,77.86,86.69
103,77.32,2.0,1.94,121.54,77.24,86.42
104,75.59,6.0,2.69,121.66,76.6,86.12
105,74.66,2.0,1.94,121.77,75.96,85.79
106,73.7,4.0,1.94,121.89,75.11,85.44
108,72.95,4.0,1.89,122.14,74.27,85.07
109,73.91,4.0,1.76,124.56,73.66,84.73
110,72.15,10.0,2.77,125.51,72.92,84.35
